experiment,temp_C,time_min,MR_best_model,MR_unified_midilli,Deff_1_m2s,Deff_2_m2s,Ea_1_kJmol,Ea_2_kJmol,drying_time_total_min,slice_mm,DR_per_min
T35,35,130.0,0.108009,0.110728,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0033190000000000025
T35,35,131.0,0.104723,0.107334,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0032859999999999973
T35,35,132.0,0.101469,0.103968,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003253999999999993
T35,35,133.0,0.098247,0.10063,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0032220000000000026
T35,35,134.0,0.095056,0.097319,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0031909999999999994
T35,35,135.0,0.091897,0.094035,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003158999999999995
T35,35,136.0,0.08877,0.090777,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0031270000000000048
T35,35,137.0,0.085673,0.087545,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0030970000000000025
T35,35,138.0,0.082606,0.08434,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0030670000000000003
T35,35,139.0,0.07957,0.08116,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003035999999999997
T35,35,140.0,0.076564,0.078005,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0030060000000000087
T35,35,141.0,0.073587,0.074876,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0029769999999999935
T35,35,142.0,0.07064,0.071771,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002947000000000005
T35,35,143.0,0.067722,0.06869,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00291799999999999
T35,35,144.0,0.064832,0.065634,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0028900000000000037
T35,35,145.0,0.061971,0.062602,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0028610000000000024
T35,35,146.0,0.059138,0.059594,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0028329999999999952
T35,35,147.0,0.056333,0.056608,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002805000000000002
T35,35,148.0,0.053556,0.053646,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0027770000000000017
T35,35,149.0,0.050806,0.050707,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0027500000000000024
T35,35,150.0,0.048083,0.047791,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0027229999999999963
T35,35,151.0,0.045387,0.044896,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002696000000000004
T35,35,152.0,0.042717,0.042024,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0026699999999999988
T35,35,153.0,0.040074,0.039174,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0026429999999999995
T35,35,154.0,0.037457,0.036345,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0026170000000000013
T35,35,155.0,0.034865,0.033538,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002591999999999997
T35,35,156.0,0.032299,0.030752,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002565999999999999
T35,35,157.0,0.029759,0.027986,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0025400000000000006
T35,35,158.0,0.027243,0.025241,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002516000000000001
T35,35,159.0,0.024752,0.022517,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002491
T35,35,160.0,0.022286,0.019813,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0024659999999999994
T35,35,161.0,0.019844,0.017129,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0024419999999999997
T35,35,162.0,0.017426,0.014464,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002418
T35,35,163.0,0.015032,0.011819,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0023940000000000003
T35,35,164.0,0.012662,0.009193,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0023700000000000006
T35,35,165.0,0.010315,0.006586,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002347
T35,35,166.0,0.007991,0.003999,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0023239999999999997
T35,35,167.0,0.005689,0.001429,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0023020000000000002
T35,35,168.0,0.003411,0.0,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0022779999999999996
T35,35,169.0,0.001155,0.0,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.002256
T35,35,170.0,0.0,0.0,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.001155
T45,45,0.0,1.0,1.0,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.033572999999999964
T45,45,1.0,0.966427,0.966427,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.033572999999999964
T45,45,2.0,0.935157,0.935157,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.03127000000000002
T45,45,3.0,0.907489,0.907489,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.027668000000000026
T45,45,4.0,0.882143,0.882143,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.02534599999999998
