ID,m/z,rt(s),Name,adduct,HMDB,KEGG,SuperClass,Class,SubClass,HT_1,HT_2,HT_3,HT_4,HT_5,LT_1,LT_2,LT_3,LT_4,LT_5,MT_1,MT_2,MT_3,MT_4,MT_5,QC_1,QC_2,QC_3,HT_mean,MT_mean,LT_mean,QC_mean,log2FC_HT_vs_LT,log2FC_MT_vs_LT,log2FC_HT_vs_MT,p_HT_vs_LT,p_MT_vs_LT,p_HT_vs_MT
M168T352,168.14816,352.1295,2-(4-amino-1-piperidinyl)cyclopentanol,[M+H-NH3]+,,,Organoheterocyclic compounds,Piperidines,Aminopiperidines,62156.9542194656,41102.4697541289,60685.3080541024,32597.9988515986,60910.6882425835,134747.546837356,74260.1939690686,127436.006300102,75057.5553150906,80577.5845941537,33525.7634694869,37765.5769919376,36579.306023676,32582.639054704,37390.6599900727,52667.9804911466,50842.6938897527,50848.6065296629,51490.6838243758,35568.78910597544,98415.77740315418,51453.093636854064,-0.934564828747418,-1.468251856423653,0.5336870276762349,0.013043130981267869,0.0016153957210522506,0.03369129199616185
M155T289,155.08059,289.4185,"2,3-dimethoxyphenol",[M+H]+,HMDB0131479,,Benzenoids,Phenols,Methoxyphenols,11048.467680954,15170.4494842456,5049.16905102395,10703.8964280692,13218.948602713,7195.68141943933,3842.75745861694,5988.92078530623,4898.39837548957,4997.92922114716,4543.35649382344,4780.57309492213,6507.82330141993,3983.81111086385,4770.76243383928,6021.88348560448,6495.90292814868,6030.72519247896,11038.18624940115,4917.265286973726,5384.737451999846,6182.837202077372,1.0354180210866635,-0.13099434721054598,1.1664123682972096,0.013497170206626745,0.5269112388158641,0.008155213848858705
M231T207_1,231.0966,207.16,2-acetyl-5-(tetrahydroxybutyl)imidazole,[M+H]+,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,15337.0298813618,16205.3793210535,18431.1120717602,14361.3163937551,16014.554427456,8281.10312191736,7709.54609958334,6711.03380572484,9058.15154573914,6476.75096717937,6637.42612816994,6002.38693822956,6710.93182877432,6396.97025410324,9511.77070191129,4940.9786192689,5739.58186077391,5743.19634636252,16069.878419077319,7051.89717023767,7647.31710802881,5474.585608801776,1.0712345420522953,-0.11692633468118362,1.1881608767334788,7.439384194155215e-06,0.47314734621539783,9.840058300774631e-06
M137T50_3,137.06965,49.8375,2-aminobenzamide,[M+H]+,HMDB0033947,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,50653.1150703188,112000.622413297,51827.4168407443,91338.5576239354,111180.342414404,81806.5785893444,117948.450885864,101487.05836673,85868.2804317802,87327.170181089,32987.5614481409,36288.8775875929,45613.0129120977,29114.4252808517,27613.7910847556,69014.1114120385,69209.2436557133,74858.2463724566,83400.0108725399,34323.533662687754,94887.50769096152,71027.20048006947,-0.18616849738401012,-1.4669932476540584,1.2808247502700483,0.47081505593837564,3.6446529364457315e-05,0.00805254071691892
M71T73,71.04846,72.761,"2-butene-1,4-diol",[M+H-H2O]+,,,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,106986.438928517,76788.1242085048,69477.1497822791,90779.2407267963,88669.0337799934,32851.26756764,52719.0904781619,30268.2495711383,34484.5533622109,38820.3156478449,60605.6487026902,68041.1565424626,52859.7055583469,56721.810518564,55625.3812892346,56248.5777530881,58064.9418758748,56360.0762927446,86539.99748521813,58770.74052225966,37828.695325399196,56891.19864056917,1.1938645923986624,0.6356034671152548,0.5582611252834073,0.00019945975358531007,0.0023030782622455856,0.003963802765008535
M177T294,177.03924,294.497,2-dehydro-3-deoxy-d-gluconate,[M-H]-,HMDB0001353,C01216,,,,1549956.27769014,1831829.27813834,1751011.09842507,1570786.35325507,1016846.99409027,695235.455437228,638705.731320429,656518.799756843,632300.827551919,691354.402177941,926677.495285381,1712299.74120424,842046.111242484,1646608.85499804,1751584.20183424,1064931.83242418,996352.696347346,994526.432597891,1544086.000319778,1375843.280912877,662823.043248872,1018603.6537898056,1.2200562014940661,1.0536193530986775,0.16643684839538866,0.00026751027420779015,0.007776461025170037,0.5147656755611721
M195T240,195.11111,240.219,2-hydroxy-3-isopropyl-6-methylbenzoic acid,[M+H]+,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,21897.8661760723,16181.3305422476,12472.1909658305,13326.0743431809,14933.0949640212,5513.28780143375,17185.2904507641,3270.47149168551,1556.24018531263,1589.44266585861,3711.64489329162,3185.60982335151,3806.09233269467,2624.1191365512,3333.39248134369,6180.97495473523,6349.91305495437,6182.45836004142,15762.111398270503,3332.1717334465384,5822.94651901092,6237.782123243673,1.4364833164262742,-0.8051014567419398,2.2415847731682135,0.018440014536353116,0.42132307321372336,7.491442830403472e-05
M395T376,395.2389,375.51,2-hydroxyatrazine,[2M+H]+,HMDB0062766,C06552,Organoheterocyclic compounds,Triazines,"1,3,5-triazines",60007.4891059535,96107.6656401233,263921.463331637,157151.761835199,119230.070395715,267116.560481924,168665.483289872,168508.683285648,136932.321818221,115917.975736498,82926.8057744304,88210.6041868697,70516.6152766514,75116.6966773343,77356.194765786,144279.233671328,143985.649643778,146643.905414278,139283.69006172553,78825.38333621436,171428.2049224326,144969.59624312798,-0.29957622191373506,-1.120862421642792,0.8212861997290569,0.48107109092090633,0.007544866315822353,0.12298753281824032
M175T301,175.05967,301.371,2-Isopropylmalic acid,[M-H]-,HMDB0000402,C02504,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,293730.180061046,273345.023499345,346355.971222928,320375.150869968,357259.769546758,121650.907936061,120147.415454842,136290.165671101,131555.511374825,143800.104544186,224411.879257208,212391.905726276,211370.634504574,227742.856292023,201651.74269285,210898.419779811,207798.808748016,207791.856645508,318213.219040009,215513.80369458618,130688.82099620302,208829.6950577783,1.283851523595351,0.7216401926258011,0.5622113309695499,2.9901909838436687e-06,1.1267007481256757e-06,0.00024287629156352527
M282T108,282.11858,107.5845,2'-o-methyladenosine,[M+H]+,HMDB0004326,C04779,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,591607.720669847,657204.729375605,529290.265247152,549070.429834703,598331.318620922,226339.138397097,231926.607547887,256941.486338803,240783.456295346,205371.070011181,224705.103340957,227345.930431749,218812.121409666,204884.3447374,186439.048388289,336564.167616129,340142.430307178,340125.219245461,585100.8927496457,212437.3096616122,232272.35171806283,338943.93905625603,1.332864239177816,-0.1287796906794574,1.4616439298572736,4.1357891279495286e-07,0.11927547003391384,2.4413114315623795e-07
